store_cd,40130,78887,92456,134344,245807,301747,317978,358859,436401,437636,486251,489521,490040,498081,506751,507213,523293,534316
40130,,,,,,,,,,,,,,,,,,
78887,,,,,,,,,,,,,,,,,,
92456,,,,,,,,,,,,,,,,,,
134344,,,,,,,,,,,,,,,,,,
245807,,,,,,,,,,,,,,,,,,
301747,,,,,,,,,,,,,,,,,,
317978,,,,,,,,,,,,,,,,,,
358859,,,,,,,,,,,,,,,,,,
436401,,,,,,,,,,,,,,,,,,
437636,,,,,,,,,,,,,,,,,,
486251,,,,,,,,,,,,,,,,,,
489521,,,,,,,,,,,,,,,,,,
490040,,,,,,,,,,,,,,,,,,
498081,,,,,,,,,,,,,,,,,,
506751,,,,,,,,,,,,,,,,,,
507213,,,,,,,,,,,,,,,,,,
523293,,,,,,,,,,,,,,,,,,
534316,,,,,,,,,,,,,,,,,,
